1;Welcher dieser Begriffe steht für Haftanstalt;Spanische Vorhänge;Englische Türen;Schwedische Gardinen;Sächsische Rollos;C
1;Wie nennt man das Einkommen, das man nach dem Ausscheiden aus dem Arbeitsleben erhält;BAföG;Kindergeld;Rente;Erziehungsgeld;C
1;Wie bezeichnet man den Montag in der Fastnachtswoche;Tulpenmontag;Veilchenmontag;Nelkenmontag;Rosenmontag;D
1;Welches dieser Worte bedeutet nicht so viel wie sich schlagen;Kloppen;Prügeln;Raufen;Schunkeln;D
1;Was sind Frischlinge;Kaulquappen;Wildschweinferkel;Rehkitze;Weidenkätzchen;B
1;Wie lautet die grammatikalisch korrekte Steigerung des Wortes gut;guter;güter;besser;besessener;C
2;Wie nennt man ein Jazzorchester;Blue Note;Big Bang;Boogie Woogie;Big Band;D
2;Was kann man nicht als Salat verspeisen;Endivie;Rucola;Espresso;Radicchio;C
2;Was sind Synagogen;vereint wirkende Kräfte;Türme eines Sultanspalastes;jüdische Gotteshäuser;Vulkanforscher;C
3;Was ist ein Mime;Frisör;Schauspieler;Geizhals;Männliche Biene;B
3;Was ist Genetik;Kaputte Uhr;Musik von Genesis;Vererbungslehre;Rentensystem;C
3;Wie nennt man einen Einsiedler;Eremit;Erewan;Erektion;Erosion;A
4;Was war in den USA während der so genannten Prohibition verboten;Sex;Baseball;Fahrrad fahren ;Alkoholgenuss;D
4;In welcher Stadt fanden die Olympischen Sommerspiele 2000 statt;Toronto;Sydney;Sarajevo;Sofia;B
4;Wie nennt man ein amtliches Grundstücksverzeichnis;Katakombe;Alabaster;Silentium;Kataster;D
5;Was entdeckte der Chemiker Carl Wilhelm Scheele Ende des 18. Jahrhunderts;Godot;Guillotine;Gnome;Glycerin;D
5;Wie lautet ein anderes Wort für Bienen;Ammen;Grimmen;Immen;Gemmen;C
5;In welcher Stadt wurde die 'Lindenstraße' produziert und gedreht;Köln;Berlin;Baden-Baden;Dortmund;A
6;Wie heißt ein mit Kümmel aromatisierter Branntwein;Sake;Aquavit;Arrak;Gin;B
6;Zu welcher Vogelfamilie gehört der Wellensittich;Papageien;Rabenvögel;Finken;Eulen;A
6;Welchen lateinischen Namen trägt der Gewöhnliche Hanf;Haschis chinopis;Marihuana communis;Potus vulgare;Cannabis sativa;D
6;Wer entdeckte 1895 die X-Strahlen;Issac Newton;André Marie Ampère;Wilhelm Conrad Röntgen;Charles Darwin;C
7;Was ist ein Tokajer;Likörwein;Paprikaschnaps;Tomatenlikör;Milchkaffee mit Wodka;A
7;Welche dieser Inseln zählt zu Dänemark;Norderney;Seeland;Tahiti;Texel;B
7;Wie heißt die Hauptstadt der Region Toskana;Lucca;Pisa;Florenz;Assisi;C
8;Von welcher verheerenden Katastrophe wurde Hamburg im Mai 1842 heimgesucht;Hochwasser;Erdbeben;Großbrand;Sturmflut;C
8;In welcher deutschen Stadt steht die Porta Nigra;Braunlage;Trier;Wolfsburg;Eisenhüttenstadt;B
8;Was ruft der Segler als Kommando für eine Wende;Hee!;Ree!;Schnee!;Lee!;B
9;Welche Insel teilen sich die Dominikanische Republik und Haiti;Santiago;Trinidad;Hispaniola;Puerto Rico;C
9;Wem gehörte nie die Insel Kuba;Spanien;England;Frankreich;USA;C
9;Wie heißt die Hauptstadt von Armenien;Tripolis;Jerewan;Baku;Ankara;B
10;Zu welchem Land gehört Spitzbergen;Schweden;Norwegen;Finnland;Dänemark;B
10;Wofür steht in der Mathematik das Symbol e;Energieverlust;Enigma;eulersche Zahl;essentieller Bruch;C
10;Womit werden im Restaurant Speisen warm gehalten;Renault;Arnault;Pierrot;Rechaud;D
10;Wer führte Regie bei '2001: Odyssee im Weltraum';Jean-Luc Godart;Roman Polanski;Stanley Kubrick;Francis Ford Coppola;C
11;Wie heißt der Mörder von John Lennon;Kevin Hundt;Nick Oldfield;Mark Chapman;John Colding;C
11;Wie lautet das höchste spanische Adelsprädikat;Bojar;Earl;Duke;Duque;D
11;Wie heißt die Hauptstadt von Uganda;Kampala;Kingston;Sanaa;Harare;A
11;Wie hieß Harare früher;Winchester;Salisbury;London;Birmingham;B
12;Wie hieß der älteste Sohn Noahs;Sem;Moshe;Aaron;Simon;A
12;Welches dieser Tiere gibt es wirklich;Lexikonweber;Almanachspinne;Zeitungstarantel;Bücherskorpion;D
12;Was ist ein Donnerkeil;Düsenjäger;versteinerter Kopffüßer;Waffe Thors;Loch in der Schallmauer;B
12;Welcher dieser Begriffe steht für eine Hunderasse;Sherpa;Saluen;Saluki;Salpe;C
13;Wie heißt die Hauptstadt von Grenada;Saint Kitts;Saint Helena;Saint John's;Saint George's;D
13;Was ist Machorka;Gartenharke;russischer Tabak;Baleareninsel;Weinsorte;B
13;Die Hauptstadt welchen Landes ist San José;Guatemala;Honduras;Panama;Costa Rica;D
13;Welche Meeresstraße trennt Australien und Tasmanien;Van-Diemen-Straße;Cook-Straße;Abel-Tasman-Straße;Bass-Straße;D
14;Wie heißt die fünftgrößte Insel der Erde;Madagaskar;Sumatra;Sri Lanka;Baffinland;D
14;Was bezeichnet der Mediziner als Palatum;Augenbraue;Hirnanhangdrüse;Gaumen;Zeigefinger;C
14;Was ist der Dalasi;ungarischer Fluss;gambische Währung;tibetanischer Hirsch;albanischer Volksheld;B
14;Welches Volk regierten Gorm der Alte, Harald Hein und Olaf Hunger;Schweden;Norweger;Dänen;Esten;C
15;Was ist eine Mridanga;Frucht;Stichwaffe;Fledermaus;Trommel;D
15;Welches dieser Tiere gibt es nicht;Silbergräber;Klappmütze;Palmendieb;Himmelsgucker;A
15;Welche dieser britischen Tageszeitungen ist die älteste;The Daily Telegraph;Daily Mail;Daily Mirror;Daily Express;A
15;Was ist eine Situla;Kapuzengewand;Querflöte;Bronzeeimer;Rohrkolbenpfeiffe;C
12;Über welches Gewässer zieht der Rauch im Deep Purple Song 'Smoke on the water';Ärmelkanal;Atlantik;Genfer See;Themse;C
13;Was ist ein 'Ursus arctos arctos';Grizzly;Eisbär;eurasischer Braunbär;Polarfuchs;C
12;Welche Pflanze produziert das Gift Atropin;Eberesche;Sauerklee;Fingerhut;Tollkirsche;D
10;Was verbirgt sich hinter dem Begriff 'Digitalis';Fingerhut;Fingernagel;Computertechnik;Marssonde;A
14;Wer spielte James Bond zu einer Titelmusik von Paul Mc Cartney;Sean Connery;Roger Moore;Timothy Dalton;Pierce Brosnan;B
3;In welchem Bundesland liegt Frankfurt;Bayern;Hessen;Nordrhein Westfalen;Rheinland Pfalz;B
11;Was ist auch im botanischen Sinne eine Beere;Stachelbeere;Himbeere;Brombeere;Erdbeere;A
12;Wo ist das nördlichste Vorkommen von Pinguinen;südl. Polarkreis;südl. Wendekreis;Äquator;nördl. Polarkreis;C
14;Woher kommt der Kona-Kaffee;Brasilien;Hawaii;Honduras;Australien;B
2;Wer bringt der Sage nach die Kinder;Klapperstorch;Flugsaurier;Flying Doctor Service;Kentucky Fried Chicken;A
15;Welcher Tag ist gemeint mit 'the day the music died';03. Feb 59;03. Mrz 65;03. Okt 80;3.Dezember 1856;A
12;Wie heißt die Hauptstadt von Neuseeland;Auckland;Christchurch;Wellington;Napier;C
14;Zu welchem australischen Bundesland gehört 'Kangaroo Island';New South Wales;South Australia;Queensland;Victoria;B
14;Wie heißt die Hauptstadt des australischen Bundeslandes Victoria;Sydney;Adelaide;Darwin;Melbourne;D
15;'Es braust ein Ruf wie Donnerhall, wie Schwertgeklirr und Wogenprall' liest man in Stein gehauen an welchem monumentalen deutschen Denkmal; Völkerschlachtsdenkmal, Leipzig;Niederwalddenkmal bei Rüdesheim;Walhalla;Herrmannsdenkmal;B
